Nome,X=Altura(mm),Y=Largura(mm),Z=Profundidade(mm),Weight
Underberg 0.02l 44%,110,26,26,1
"East Imperial Grapefruit Tonic 0,15l",199,48,48,1
"East Imperial Yuzu Tonic 0,15l",199,48,48,1
"East Imperial Thai Ginger Ale Tonic 0,15l",199,48,48,1
"Paulaner Weissbier 12ยบ 0,33l 5,5%",210,59,59,1
"Hoegaarden Wheat Beer 0,33l 4,9%",219,61,61,1
"Corona Extra Pivo 11,3ยบ 0,355l 45%",245,62,62,1
"Jack Daniel's Cola 0,33l 5%",115,67,67,1
"Stolichnaya vodka 0,7l 40%",327,72,72,1
"Capitan Bucanero Elixir Dominicano 7y 0,7l 34%",317,72,72,1
"Beluga 0,7l 40%",345,75,75,1
"Finlandia vodka 0,7l 40%",320,76,76,1
"Legendario Elixir De Cuba 7y 0,7l 34%",315,76,76,1
"Diplomatico Reserva Exclusiva 12y 0,7l 40%",213,82,82,1
Proper No. Twelve 0.7l 40%,305,84,84,1
Finlandia vodka 1l 40%,330,85,85,1
Beluga Celebration 1l 40%,356,86,86,1
"Malfy Gin Original 0,7l 41%",233,90,90,1
"Hendrick's Gin Lunar 0,7l 43,3% L.E.",194,93,93,1
"Mom Gin Rocks 0,7l 37,5%",228,95,95,1
"Don Papa 7y 0,7l 40%",225,95,95,1
Russian Standard Gold vodka 1l 40%,329,100,100,1
"Aukce Don Papa Sherry Casks 5y 0,7l 45% L.E.",236,102,102,1
Russian Standard Original 1l 40%,334,112,112,1
"Bernard 11ยบ 5l 4,5% Soudek",249,175,175,1
"Jack Daniel's 5x0,05l GB",145,249,48,1
"Tatratea Mini Set Mix (22-32-42-52-62-72) 6x0,04l",116,244,31,1
Jack Daniel's Honey 0.7l 35%,246,77,77,1
"Jack Daniel's Legacy Edition 3 0,7l 43% GB L.E.",257,81,80,1
"Ibalgin Gin 0,7l 40%",237,85,65,1
"Bumbu Rum 15y 0,7l 40%",235,63,90,1
"Jack Daniel's Apple 0,7l 35%",274,84,84,1
"Jack Daniel's Fire 0,7l 35%",274,84,84,1
"Jack Daniel's Junkebox 0,7l 40% GB",298,162,102,1
Bombay Sapphire Gin Traditional 1l 40%,267,81,81,1
"Plantation 20th Anniversary XO 0,7l 40% GB",278,102,102,1
Jack Daniel's Honey 0.7l 35% + 2x sklo GB,268,196,95,1
"Beluga Gold Line 1,5l 40% GB",457,44,44,1
Havana Club Anejo 34 1l 37.5%,485,128,131,1